IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.235.169.207,443,443,true,FRA,Europe,Frankfurt,181,9.37
144.21.39.27,443,443,true,FRA,Europe,Frankfurt,172,9.30
79.72.82.237,443,443,true,FRA,Europe,Frankfurt,197,9.30
141.144.235.164,443,443,true,FRA,Europe,Frankfurt,177,9.26
89.168.126.163,443,443,true,FRA,Europe,Frankfurt,152,9.26
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,165,9.22
141.148.245.81,443,443,true,FRA,Europe,Frankfurt,186,9.20
141.147.69.48,443,443,true,FRA,Europe,Frankfurt,205,9.18
84.235.161.106,443,443,true,FRA,Europe,Frankfurt,187,9.18
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,160,9.18
158.101.148.105,443,443,true,HKG,Asia Pacific,Hong Kong,68,9.17
130.162.169.44,443,443,true,FRA,Europe,Frankfurt,199,9.16
141.148.234.126,443,443,true,FRA,Europe,Frankfurt,184,9.13
144.21.38.142,443,443,true,FRA,Europe,Frankfurt,186,9.13
130.162.171.203,443,443,true,FRA,Europe,Frankfurt,172,9.11
84.8.150.29,443,443,true,FRA,Europe,Frankfurt,188,9.09
144.21.38.114,443,443,true,FRA,Europe,Frankfurt,183,9.04
143.47.238.187,443,443,true,FRA,Europe,Frankfurt,181,9.04
130.162.40.166,443,443,true,FRA,Europe,Frankfurt,160,9.04
84.235.167.12,443,443,true,FRA,Europe,Frankfurt,178,9.03
130.162.165.41,443,443,true,FRA,Europe,Frankfurt,176,9.02
141.147.76.39,443,443,true,FRA,Europe,Frankfurt,200,8.99
141.147.115.4,443,443,true,FRA,Europe,Frankfurt,176,8.95
141.148.231.27,443,443,true,FRA,Europe,Frankfurt,183,8.93
150.230.118.203,443,443,true,FRA,Europe,Frankfurt,182,8.92
138.2.174.80,443,443,true,FRA,Europe,Frankfurt,173,8.86
152.67.136.4,443,443,true,FRA,Europe,Frankfurt,196,8.82
84.8.151.166,443,443,true,FRA,Europe,Frankfurt,187,8.82
79.72.93.238,443,443,true,FRA,Europe,Frankfurt,175,8.81
141.147.86.201,443,443,true,FRA,Europe,Frankfurt,184,8.79
130.162.218.157,443,443,true,FRA,Europe,Frankfurt,154,8.79
130.162.218.198,443,443,true,FRA,Europe,Frankfurt,174,8.72
158.178.153.244,443,443,true,FRA,Europe,Frankfurt,179,8.71
193.122.15.108,443,443,true,FRA,Europe,Frankfurt,165,8.71
152.70.52.227,443,443,true,FRA,Europe,Frankfurt,177,8.70
152.70.49.147,443,443,true,FRA,Europe,Frankfurt,176,8.69
130.162.160.194,443,443,true,FRA,Europe,Frankfurt,179,8.69
152.70.58.25,443,443,true,FRA,Europe,Frankfurt,180,8.62
138.2.178.185,443,443,true,FRA,Europe,Frankfurt,229,8.62
143.47.180.116,443,443,true,FRA,Europe,Frankfurt,185,8.61
132.145.246.219,443,443,true,FRA,Europe,Frankfurt,167,8.58
144.21.38.48,443,443,true,FRA,Europe,Frankfurt,184,8.53
158.180.47.97,443,443,true,FRA,Europe,Frankfurt,189,8.53
144.21.40.109,443,443,true,FRA,Europe,Frankfurt,184,8.50
130.162.237.55,443,443,true,FRA,Europe,Frankfurt,174,8.49
79.72.90.183,443,443,true,FRA,Europe,Frankfurt,169,8.47
138.2.169.195,443,443,true,FRA,Europe,Frankfurt,173,8.44
130.162.255.198,443,443,true,FRA,Europe,Frankfurt,170,8.43
141.147.108.40,443,443,true,FRA,Europe,Frankfurt,182,8.42
141.147.30.160,443,443,true,FRA,Europe,Frankfurt,162,8.40
138.2.182.233,443,443,true,FRA,Europe,Frankfurt,200,8.40
144.21.36.14,443,443,true,FRA,Europe,Frankfurt,192,8.38
152.67.141.201,443,443,true,FRA,Europe,Frankfurt,180,8.32
129.159.251.132,443,443,true,FRA,Europe,Frankfurt,153,8.27
144.21.49.20,443,443,true,FRA,Europe,Frankfurt,199,8.24
130.162.171.90,443,443,true,FRA,Europe,Frankfurt,188,8.22
158.101.181.236,443,443,true,FRA,Europe,Frankfurt,165,8.19
141.147.49.123,443,443,true,FRA,Europe,Frankfurt,167,8.18
130.162.208.233,443,443,true,FRA,Europe,Frankfurt,160,8.07
193.122.197.111,443,443,true,IAD,North America,Ashburn,250,8.00
132.145.244.24,443,443,true,FRA,Europe,Frankfurt,182,8.00
152.67.136.75,443,443,true,FRA,Europe,Frankfurt,191,7.99
164.152.26.70,2052,443,true,ORD,North America,Chicago,211,7.98
141.147.41.16,443,443,true,FRA,Europe,Frankfurt,151,7.79
89.168.119.184,443,443,true,FRA,Europe,Frankfurt,175,7.75
130.162.223.133,443,443,true,FRA,Europe,Frankfurt,172,7.74
129.146.248.140,443,443,true,LAX,North America,Los Angeles,184,7.70
143.47.247.171,443,443,true,FRA,Europe,Frankfurt,161,7.69
84.235.166.157,443,443,true,FRA,Europe,Frankfurt,191,7.68
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,188,7.63
141.147.107.243,443,443,true,FRA,Europe,Frankfurt,192,7.56
158.180.54.105,443,443,true,FRA,Europe,Frankfurt,167,7.55
164.152.26.70,2086,443,true,ORD,North America,Chicago,219,7.50
158.178.157.150,443,443,true,FRA,Europe,Frankfurt,179,7.49
143.47.243.144,8443,443,true,LHR,Europe,London,166,7.48
130.162.226.76,443,443,true,FRA,Europe,Frankfurt,187,7.44
84.235.164.96,443,443,true,FRA,Europe,Frankfurt,165,7.42
130.61.181.61,2096,443,true,FRA,Europe,Frankfurt,186,7.42
132.145.252.7,443,443,true,FRA,Europe,Frankfurt,188,7.38
89.168.80.239,443,443,true,FRA,Europe,Frankfurt,185,7.37
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,166,7.36
143.47.227.230,443,443,true,FRA,Europe,Frankfurt,195,7.35
89.168.82.27,443,443,true,FRA,Europe,Frankfurt,177,7.30
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,165,7.27
130.162.217.8,443,443,true,FRA,Europe,Frankfurt,179,7.24
141.148.241.15,443,443,true,FRA,Europe,Frankfurt,165,7.23
141.147.109.62,443,443,true,FRA,Europe,Frankfurt,189,7.22
141.147.106.79,443,443,true,FRA,Europe,Frankfurt,188,7.20
130.162.230.210,443,443,true,FRA,Europe,Frankfurt,176,7.13
152.70.123.225,8443,443,true,SJC,North America,San Jose,211,7.12
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,168,7.12
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,254,7.10
193.123.38.208,443,443,true,FRA,Europe,Frankfurt,165,7.08
68.233.127.163,8443,443,true,YYZ,North America,Toronto,244,7.07
40.233.70.7,8443,443,true,YYZ,North America,Toronto,230,7.05
141.147.43.42,443,443,true,FRA,Europe,Frankfurt,178,7.04
84.8.154.84,443,443,true,FRA,Europe,Frankfurt,162,7.04
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,184,7.01
130.162.245.23,443,443,true,FRA,Europe,Frankfurt,188,7.01
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,181,6.94
129.80.26.68,443,443,true,IAD,North America,Ashburn,258,6.85
130.162.239.181,443,443,true,FRA,Europe,Frankfurt,176,6.80
144.21.43.160,443,443,true,FRA,Europe,Frankfurt,166,6.79
141.147.86.112,443,443,true,FRA,Europe,Frankfurt,171,6.72
130.162.225.13,443,443,true,FRA,Europe,Frankfurt,167,6.69
130.61.181.61,2053,443,true,FRA,Europe,Frankfurt,173,6.67
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,179,6.62
130.162.38.21,443,443,true,FRA,Europe,Frankfurt,154,6.44
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,184,6.38
141.148.244.121,443,443,true,FRA,Europe,Frankfurt,168,6.38
158.101.202.12,443,443,true,FRA,Europe,Frankfurt,166,6.36
64.181.240.173,443,443,true,SJC,North America,San Jose,208,6.32
192.9.137.193,8443,443,true,SJC,North America,San Jose,211,6.22
150.230.42.80,443,443,true,SJC,North America,San Jose,197,6.22
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,22,6.21
130.162.38.30,443,443,true,FRA,Europe,Frankfurt,179,6.16
150.230.34.116,443,443,true,SJC,North America,San Jose,208,6.02
130.162.184.213,443,443,true,FRA,Europe,Frankfurt,201,5.97
143.47.243.144,2053,443,true,LHR,Europe,London,166,5.93
192.9.246.112,8443,443,true,SJC,North America,San Jose,205,5.84
155.248.182.158,443,443,true,NRT,Asia Pacific,Tokyo,71,5.76
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,69,5.74
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,69,5.72
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,66,5.69
168.138.212.196,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,5.69
158.101.141.147,443,443,true,NRT,Asia Pacific,Tokyo,72,5.67
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,70,5.66
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,90,5.64
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,83,5.61
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,70,5.60
152.67.222.167,443,443,true,ICN,Asia Pacific,Seoul,67,5.52
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,201,5.52
144.24.243.207,443,443,true,ZRH,Europe,Zurich,161,5.46
150.136.240.243,443,443,true,IAD,North America,Ashburn,234,5.46
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,125,5.41
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,204,5.33
140.238.195.98,443,443,true,SYD,Oceania,Sydney,94,5.31
192.9.180.162,443,443,true,SYD,Oceania,Sydney,92,5.29
159.13.46.42,443,443,true,SYD,Oceania,Sydney,94,5.28
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,99,5.24
193.122.110.171,443,443,true,NRT,Asia Pacific,Tokyo,89,5.21
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,96,5.14
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,166,5.13
152.67.78.184,443,443,true,ZRH,Europe,Zurich,149,5.00
143.47.242.195,443,443,true,LHR,Europe,London,175,4.96
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,169,4.92
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,171,4.92
129.146.220.190,443,443,true,LAX,North America,Los Angeles,184,4.89
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,167,4.84
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,167,4.72
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,170,4.70
158.178.192.221,443,443,true,CDG,Europe,Paris,188,4.64
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,179,4.63
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,183,4.58
152.70.155.147,443,443,true,LAX,North America,Los Angeles,211,4.57
141.147.85.167,8443,443,true,LHR,Europe,London,186,4.56
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,190,4.55
193.123.252.170,2053,443,true,ICN,Asia Pacific,Seoul,90,4.54
129.146.254.39,443,443,true,LAX,North America,Los Angeles,195,4.54
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,186,4.53
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,165,4.50
146.235.199.30,443,443,true,SJC,North America,San Jose,209,4.45
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,159,4.37
129.159.130.38,443,443,true,MXP,Europe,Milan,179,4.26
152.67.65.201,443,443,true,ZRH,Europe,Zurich,169,4.25
130.162.184.173,443,443,true,LHR,Europe,London,173,4.25
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,170,4.21
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,196,4.18
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,194,4.17
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,184,4.17
