IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.51.110,443,443,true,LHR,Europe,London,191,8.12
158.101.211.165,443,443,true,FRA,Europe,Frankfurt,178,8.09
141.147.74.82,443,443,true,FRA,Europe,Frankfurt,201,8.08
89.168.100.185,443,443,true,FRA,Europe,Frankfurt,214,8.07
144.21.63.128,443,443,true,FRA,Europe,Frankfurt,196,8.05
141.147.118.79,443,443,true,FRA,Europe,Frankfurt,235,8.03
141.147.43.178,443,443,true,FRA,Europe,Frankfurt,196,8.02
152.67.128.46,443,443,true,FRA,Europe,Frankfurt,246,8.00
143.47.250.134,443,443,true,FRA,Europe,Frankfurt,231,8.00
143.47.228.48,443,443,true,FRA,Europe,Frankfurt,177,7.99
141.147.115.4,443,443,true,FRA,Europe,Frankfurt,215,7.93
79.72.69.219,443,443,true,FRA,Europe,Frankfurt,220,7.93
130.162.165.110,443,443,true,FRA,Europe,Frankfurt,222,7.91
192.9.137.193,8443,443,true,SJC,North America,San Jose,180,7.89
141.147.119.180,443,443,true,FRA,Europe,Frankfurt,212,7.89
89.168.100.108,443,443,true,FRA,Europe,Frankfurt,189,7.85
158.180.49.27,443,443,true,FRA,Europe,Frankfurt,188,7.85
130.162.165.69,443,443,true,FRA,Europe,Frankfurt,207,7.84
79.72.68.47,443,443,true,FRA,Europe,Frankfurt,227,7.82
141.147.81.19,443,443,true,FRA,Europe,Frankfurt,235,7.80
143.47.240.167,443,443,true,FRA,Europe,Frankfurt,236,7.76
144.21.62.74,443,443,true,FRA,Europe,Frankfurt,225,7.76
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,171,7.76
158.101.211.106,443,443,true,FRA,Europe,Frankfurt,197,7.75
89.168.79.151,443,443,true,FRA,Europe,Frankfurt,167,7.75
164.152.26.70,2052,443,true,ORD,North America,Chicago,208,7.74
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,167,7.72
130.162.169.44,443,443,true,FRA,Europe,Frankfurt,230,7.66
84.8.158.197,443,443,true,FRA,Europe,Frankfurt,214,7.66
141.144.255.47,443,443,true,FRA,Europe,Frankfurt,157,7.60
152.67.149.43,443,443,true,FRA,Europe,Frankfurt,244,7.59
158.101.202.202,443,443,true,FRA,Europe,Frankfurt,191,7.59
143.47.224.155,443,443,true,FRA,Europe,Frankfurt,226,7.58
141.147.72.105,443,443,true,FRA,Europe,Frankfurt,233,7.54
143.47.231.188,443,443,true,FRA,Europe,Frankfurt,219,7.54
130.162.239.181,443,443,true,FRA,Europe,Frankfurt,191,7.53
158.101.202.16,443,443,true,FRA,Europe,Frankfurt,181,7.50
132.226.133.6,443,443,true,FRA,Europe,Frankfurt,199,7.47
141.147.71.54,443,443,true,FRA,Europe,Frankfurt,246,7.47
140.238.80.113,443,443,true,FRA,Europe,Frankfurt,204,7.47
152.70.85.165,2083,443,true,KIX,Asia Pacific,Osaka,83,7.45
141.147.117.122,443,443,true,FRA,Europe,Frankfurt,222,7.42
158.101.207.179,443,443,true,FRA,Europe,Frankfurt,181,7.42
158.101.218.204,443,443,true,FRA,Europe,Frankfurt,182,7.42
89.168.81.173,443,443,true,FRA,Europe,Frankfurt,156,7.41
89.168.82.27,443,443,true,FRA,Europe,Frankfurt,155,7.41
150.230.118.203,443,443,true,FRA,Europe,Frankfurt,221,7.38
143.47.226.197,443,443,true,FRA,Europe,Frankfurt,220,7.36
89.168.81.170,443,443,true,FRA,Europe,Frankfurt,168,7.31
79.72.95.14,443,443,true,FRA,Europe,Frankfurt,228,7.30
143.47.237.83,443,443,true,FRA,Europe,Frankfurt,236,7.30
143.47.237.187,443,443,true,FRA,Europe,Frankfurt,215,7.29
89.168.66.31,443,443,true,FRA,Europe,Frankfurt,164,7.27
141.147.118.132,443,443,true,FRA,Europe,Frankfurt,173,7.26
141.147.83.75,443,443,true,FRA,Europe,Frankfurt,215,7.22
130.162.183.60,443,443,true,FRA,Europe,Frankfurt,242,7.22
141.147.108.46,443,443,true,FRA,Europe,Frankfurt,234,7.21
144.21.49.107,443,443,true,FRA,Europe,Frankfurt,233,7.20
141.147.99.151,443,443,true,FRA,Europe,Frankfurt,231,7.19
150.230.123.3,443,443,true,FRA,Europe,Frankfurt,229,7.18
141.147.68.250,443,443,true,FRA,Europe,Frankfurt,207,7.17
158.101.212.17,443,443,true,FRA,Europe,Frankfurt,180,7.16
146.56.191.197,8080,443,true,SJC,North America,San Jose,95,7.15
68.233.127.163,8443,443,true,YUL,North America,Montréal,241,7.14
193.123.63.133,443,443,true,FRA,Europe,Frankfurt,191,7.10
84.8.154.99,443,443,true,FRA,Europe,Frankfurt,223,7.09
79.72.72.128,443,443,true,FRA,Europe,Frankfurt,219,7.03
143.47.231.146,443,443,true,FRA,Europe,Frankfurt,242,7.01
193.123.56.204,443,443,true,FRA,Europe,Frankfurt,183,7.00
141.147.44.113,443,443,true,FRA,Europe,Frankfurt,167,6.97
79.72.94.233,443,443,true,FRA,Europe,Frankfurt,225,6.96
141.148.246.251,443,443,true,FRA,Europe,Frankfurt,177,6.95
79.72.82.237,443,443,true,FRA,Europe,Frankfurt,222,6.94
89.168.66.179,443,443,true,FRA,Europe,Frankfurt,192,6.91
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,241,6.89
150.230.123.94,443,443,true,FRA,Europe,Frankfurt,244,6.89
152.67.141.201,443,443,true,FRA,Europe,Frankfurt,230,6.88
130.61.181.61,2053,443,true,FRA,Europe,Frankfurt,167,6.84
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,167,6.83
141.147.113.248,443,443,true,FRA,Europe,Frankfurt,215,6.70
130.162.166.149,443,443,true,FRA,Europe,Frankfurt,214,6.67
193.122.197.111,443,443,true,IAD,North America,Ashburn,227,6.64
141.147.106.79,443,443,true,FRA,Europe,Frankfurt,244,6.63
141.147.76.39,443,443,true,FRA,Europe,Frankfurt,228,6.60
89.168.71.138,443,443,true,FRA,Europe,Frankfurt,167,6.60
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,186,6.57
152.70.190.203,443,443,true,FRA,Europe,Frankfurt,161,6.57
79.72.82.62,443,443,true,FRA,Europe,Frankfurt,223,6.52
140.238.88.47,443,443,true,LHR,Europe,London,193,6.48
164.152.26.70,2086,443,true,ORD,North America,Chicago,212,6.47
130.162.191.194,443,443,true,FRA,Europe,Frankfurt,227,6.46
130.162.233.48,443,443,true,FRA,Europe,Frankfurt,156,6.42
79.72.75.31,443,443,true,FRA,Europe,Frankfurt,174,6.39
141.147.103.53,443,443,true,FRA,Europe,Frankfurt,161,6.35
89.168.81.73,443,443,true,FRA,Europe,Frankfurt,183,6.32
79.72.80.152,443,443,true,FRA,Europe,Frankfurt,232,6.31
84.8.151.218,443,443,true,FRA,Europe,Frankfurt,267,6.29
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,163,6.22
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,1,6.22
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,176,6.18
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,166,6.16
140.238.80.113,443,443,true,FRA,Europe,Frankfurt,228,6.16
132.145.54.84,2053,443,true,LHR,Europe,London,197,6.16
130.162.163.218,443,443,true,FRA,Europe,Frankfurt,217,6.11
40.233.70.7,8443,443,true,YYZ,North America,Toronto,251,6.09
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,181,6.06
150.136.240.243,443,443,true,IAD,North America,Ashburn,286,6.00
140.83.61.244,443,443,true,LAX,North America,Los Angeles,66,5.80
158.101.204.62,443,443,true,FRA,Europe,Frankfurt,177,5.78
79.72.93.27,443,443,true,FRA,Europe,Frankfurt,227,5.78
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,188,5.78
155.248.182.158,443,443,true,NRT,Asia Pacific,Tokyo,71,5.75
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,74,5.73
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,73,5.72
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,197,5.71
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,66,5.71
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,99,5.69
