IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.220.55,80,443,true,PDX,North America,Portland,206,7.55
204.110.221.209,80,443,true,SEA,North America,Seattle,195,7.54
54.202.98.122,443,443,true,SEA,North America,Seattle,202,7.54
204.110.220.136,80,443,true,SEA,North America,Seattle,202,7.53
204.110.220.3,80,443,true,SEA,North America,Seattle,194,7.52
204.110.221.3,80,443,true,SEA,North America,Seattle,204,7.52
204.110.220.100,80,443,true,PDX,North America,Portland,194,7.52
204.110.221.16,80,443,true,PDX,North America,Portland,203,7.51
204.110.221.164,80,443,true,PDX,North America,Portland,203,7.51
204.110.220.215,80,443,true,SEA,North America,Seattle,208,7.50
204.110.221.246,80,443,true,PDX,North America,Portland,202,7.50
18.226.180.26,443,443,true,ORD,North America,Chicago,219,7.50
204.110.221.115,80,443,true,PDX,North America,Portland,202,7.50
204.110.221.4,80,443,true,PDX,North America,Portland,225,7.50
3.140.142.249,8443,443,true,CMH,North America,Columbus,220,7.49
35.163.10.185,443,443,true,SEA,North America,Seattle,201,7.49
67.226.222.38,80,443,true,CMH,North America,Columbus,220,7.48
35.93.223.240,443,443,true,SEA,North America,Seattle,203,7.48
204.110.221.65,80,443,true,PDX,North America,Portland,204,7.47
13.58.45.254,443,443,true,ORD,North America,Chicago,220,7.47
204.110.220.250,80,443,true,PDX,North America,Portland,200,7.47
204.110.221.232,80,443,true,PDX,North America,Portland,210,7.46
204.110.221.14,80,443,true,PDX,North America,Portland,203,7.46
204.110.221.215,80,443,true,SEA,North America,Seattle,200,7.46
204.110.221.225,80,443,true,SEA,North America,Seattle,202,7.46
67.226.223.121,80,443,true,CMH,North America,Columbus,220,7.46
204.110.220.169,80,443,true,SEA,North America,Seattle,202,7.46
204.110.221.23,80,443,true,SEA,North America,Seattle,210,7.45
67.226.222.237,80,443,true,CMH,North America,Columbus,228,7.45
67.226.222.255,80,443,true,CMH,North America,Columbus,222,7.44
204.110.220.32,80,443,true,PDX,North America,Portland,195,7.44
204.110.220.197,80,443,true,PDX,North America,Portland,217,7.43
204.110.221.156,80,443,true,PDX,North America,Portland,202,7.43
204.110.221.66,80,443,true,SEA,North America,Seattle,201,7.43
204.110.220.181,80,443,true,PDX,North America,Portland,204,7.43
204.110.221.134,80,443,true,PDX,North America,Portland,200,7.43
204.110.221.26,80,443,true,PDX,North America,Portland,203,7.43
204.110.221.122,80,443,true,PDX,North America,Portland,196,7.42
52.10.78.7,80,443,true,PDX,North America,Portland,200,7.41
204.110.221.69,80,443,true,PDX,North America,Portland,201,7.41
67.226.223.240,80,443,true,CMH,North America,Columbus,216,7.41
204.110.223.141,80,443,true,CMH,North America,Columbus,220,7.41
204.110.220.203,80,443,true,SEA,North America,Seattle,194,7.41
204.110.220.245,80,443,true,PDX,North America,Portland,212,7.40
204.110.221.247,80,443,true,SEA,North America,Seattle,201,7.39
34.217.30.251,443,443,true,PDX,North America,Portland,202,7.39
67.226.222.159,80,443,true,CMH,North America,Columbus,228,7.39
204.110.221.205,80,443,true,SEA,North America,Seattle,198,7.39
67.226.222.188,80,443,true,CMH,North America,Columbus,220,7.39
3.140.142.249,2053,443,true,CMH,North America,Columbus,224,7.39
54.177.87.111,80,443,true,SJC,North America,San Jose,187,7.38
3.139.104.140,80,443,true,CMH,North America,Columbus,215,7.38
204.110.223.195,80,443,true,CMH,North America,Columbus,220,7.38
204.110.220.38,80,443,true,SEA,North America,Seattle,199,7.36
3.139.234.25,443,443,true,ORD,North America,Chicago,216,7.36
204.110.223.81,80,443,true,CMH,North America,Columbus,222,7.35
34.213.180.132,443,443,true,SEA,North America,Seattle,194,7.35
34.221.21.131,443,443,true,SEA,North America,Seattle,202,7.35
67.226.222.21,80,443,true,CMH,North America,Columbus,219,7.35
