IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.145.63.114,443,443,true,ORD,North America,Chicago,216,8.11
35.159.168.72,443,443,true,FRA,Europe,Frankfurt,183,8.11
35.164.252.95,443,443,true,SEA,North America,Seattle,200,8.11
18.222.46.222,443,443,true,ORD,North America,Chicago,219,8.10
18.216.200.88,443,443,true,ORD,North America,Chicago,220,8.10
3.144.136.26,443,443,true,ORD,North America,Chicago,225,8.09
204.110.220.12,80,443,true,PDX,North America,Portland,197,8.08
204.110.221.220,80,443,true,PDX,North America,Portland,193,8.08
3.129.67.38,443,443,true,ORD,North America,Chicago,219,8.07
35.87.206.177,443,443,true,SEA,North America,Seattle,203,8.05
44.242.137.167,443,443,true,SEA,North America,Seattle,195,8.05
18.191.42.122,443,443,true,ORD,North America,Chicago,221,8.05
204.110.221.122,80,443,true,PDX,North America,Portland,201,8.04
204.110.221.106,80,443,true,PDX,North America,Portland,194,8.04
3.144.80.78,8443,443,true,CMH,North America,Columbus,214,8.03
18.227.81.147,443,443,true,ORD,North America,Chicago,219,8.02
18.191.102.241,443,443,true,ORD,North America,Chicago,241,8.01
3.145.162.40,443,443,true,ORD,North America,Chicago,219,8.00
3.133.132.189,443,443,true,ORD,North America,Chicago,229,8.00
3.144.191.4,443,443,true,CMH,North America,Columbus,219,8.00
44.243.77.242,443,443,true,SEA,North America,Seattle,204,7.99
204.110.221.233,80,443,true,PDX,North America,Portland,200,7.99
18.153.166.250,2053,443,true,FRA,Europe,Frankfurt,170,7.99
18.188.110.202,443,443,true,ORD,North America,Chicago,216,7.98
18.188.65.220,443,443,true,ORD,North America,Chicago,215,7.98
204.110.221.59,80,443,true,PDX,North America,Portland,202,7.98
3.78.12.222,2053,443,true,FRA,Europe,Frankfurt,175,7.98
204.110.220.11,80,443,true,PDX,North America,Portland,201,7.98
204.110.221.217,80,443,true,PDX,North America,Portland,191,7.98
3.17.186.183,443,443,true,ORD,North America,Chicago,215,7.97
3.135.224.17,443,443,true,ORD,North America,Chicago,214,7.96
204.110.220.206,80,443,true,PDX,North America,Portland,202,7.96
18.222.56.36,443,443,true,ORD,North America,Chicago,215,7.95
3.147.73.220,443,443,true,CMH,North America,Columbus,225,7.95
204.110.221.62,80,443,true,PDX,North America,Portland,204,7.94
18.119.14.252,443,443,true,ORD,North America,Chicago,218,7.93
204.110.220.90,80,443,true,PDX,North America,Portland,204,7.93
54.188.248.94,443,443,true,SEA,North America,Seattle,217,7.92
204.110.220.12,443,443,true,PDX,North America,Portland,219,7.91
34.208.221.169,443,443,true,SEA,North America,Seattle,196,7.91
44.242.223.105,443,443,true,SEA,North America,Seattle,220,7.91
18.216.145.240,443,443,true,ORD,North America,Chicago,221,7.90
54.203.85.46,80,443,true,PDX,North America,Portland,204,7.89
52.11.186.183,443,443,true,SEA,North America,Seattle,202,7.89
35.95.32.178,443,443,true,SEA,North America,Seattle,220,7.89
204.110.220.197,80,443,true,PDX,North America,Portland,199,7.88
3.135.218.231,443,443,true,ORD,North America,Chicago,220,7.88
3.145.99.165,443,443,true,ORD,North America,Chicago,217,7.88
44.243.113.202,443,443,true,SEA,North America,Seattle,240,7.87
13.51.55.31,443,443,true,ARN,Europe,Stockholm,204,7.87
3.18.169.201,443,443,true,CMH,North America,Columbus,215,7.86
3.17.59.81,443,443,true,CMH,North America,Columbus,215,7.86
34.218.49.157,443,443,true,SEA,North America,Seattle,201,7.85
52.15.241.131,443,443,true,ORD,North America,Chicago,218,7.84
34.219.142.108,443,443,true,SEA,North America,Seattle,201,7.82
204.110.220.125,80,443,true,PDX,North America,Portland,202,7.81
34.217.45.196,443,443,true,SEA,North America,Seattle,194,7.80
204.110.220.146,80,443,true,PDX,North America,Portland,193,7.80
