IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.145.205.115,8443,8443,true,CDG,Europe,Paris,171,7.31
129.159.240.148,443,443,true,FRA,Europe,Frankfurt,169,7.30
144.21.48.18,443,443,true,FRA,Europe,Frankfurt,185,7.29
144.21.43.160,443,443,true,FRA,Europe,Frankfurt,188,7.29
141.147.21.150,443,443,true,FRA,Europe,Frankfurt,191,7.29
141.144.204.130,443,443,true,FRA,Europe,Frankfurt,178,7.29
138.3.253.41,443,443,true,FRA,Europe,Frankfurt,166,7.29
84.235.166.157,443,443,true,FRA,Europe,Frankfurt,177,7.28
141.147.31.66,443,443,true,FRA,Europe,Frankfurt,171,7.28
193.123.69.77,443,443,true,DXB,Middle East,Dubai,79,7.28
141.148.244.121,443,443,true,FRA,Europe,Frankfurt,183,7.27
130.162.242.164,443,443,true,FRA,Europe,Frankfurt,168,7.25
84.235.171.93,443,443,true,FRA,Europe,Frankfurt,172,7.24
141.147.119.230,443,443,true,FRA,Europe,Frankfurt,179,7.22
130.162.223.133,443,443,true,FRA,Europe,Frankfurt,179,7.21
152.67.149.43,443,443,true,FRA,Europe,Frankfurt,174,7.19
130.162.208.233,443,443,true,FRA,Europe,Frankfurt,165,7.17
152.70.49.147,443,443,true,FRA,Europe,Frankfurt,181,7.15
141.147.48.141,443,443,true,FRA,Europe,Frankfurt,223,7.15
129.159.243.83,443,443,true,FRA,Europe,Frankfurt,174,7.14
158.180.47.97,443,443,true,FRA,Europe,Frankfurt,184,7.13
141.147.86.201,443,443,true,FRA,Europe,Frankfurt,178,7.12
89.168.92.181,443,443,true,FRA,Europe,Frankfurt,163,7.11
130.162.255.198,443,443,true,FRA,Europe,Frankfurt,180,7.10
84.8.150.29,443,443,true,FRA,Europe,Frankfurt,195,7.10
141.147.107.243,443,443,true,FRA,Europe,Frankfurt,173,7.09
141.148.225.242,443,443,true,FRA,Europe,Frankfurt,183,7.08
84.235.175.79,443,443,true,FRA,Europe,Frankfurt,180,7.08
140.238.82.55,443,443,true,FRA,Europe,Frankfurt,177,7.07
141.147.118.132,443,443,true,FRA,Europe,Frankfurt,203,7.07
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,167,7.07
68.233.127.163,8443,443,true,YUL,North America,Montréal,252,7.06
130.162.254.168,443,443,true,FRA,Europe,Frankfurt,180,7.06
144.21.40.109,443,443,true,FRA,Europe,Frankfurt,177,7.06
141.147.106.79,443,443,true,FRA,Europe,Frankfurt,179,7.04
132.145.11.200,443,443,true,FRA,Europe,Frankfurt,173,7.04
141.147.76.39,443,443,true,FRA,Europe,Frankfurt,191,7.04
130.61.198.12,443,443,true,FRA,Europe,Frankfurt,181,7.02
144.21.41.34,443,443,true,FRA,Europe,Frankfurt,177,7.01
158.101.205.24,443,443,true,FRA,Europe,Frankfurt,181,7.00
84.8.154.99,443,443,true,FRA,Europe,Frankfurt,206,7.00
152.70.52.227,443,443,true,FRA,Europe,Frankfurt,208,6.99
158.101.202.12,443,443,true,FRA,Europe,Frankfurt,177,6.99
158.101.207.179,443,443,true,FRA,Europe,Frankfurt,179,6.97
143.47.242.102,443,443,true,FRA,Europe,Frankfurt,169,6.94
79.72.72.128,443,443,true,FRA,Europe,Frankfurt,171,6.94
141.148.246.251,443,443,true,FRA,Europe,Frankfurt,170,6.92
158.101.202.16,443,443,true,FRA,Europe,Frankfurt,179,6.90
